Year;Bird_ID;GLS_ID;Sex;Date;Nest;Nest_content;Capture_method;Headbill;Culmen;Wing;Right_tarsus;Mass;Index_body_condition;Muscle_Pectoral;Score_Personal;Long_Egg;Long_Egg_cm;Larg_Egg;Larg_Egg_cm;Vol_egg;Arrival_date;Arrival_date_num;Arrival_date_propre;Arrival_date_propre_num;date_enter_nest;date_enter_nest_num;Hatch_date;Hatch_date_num;weigh_hatching;Hatching_success;Chick_mass_gain_(g/d)_1st_15d;pente_chick_growth_1-15d;N_SIA_Blood;N_SIA_head_Feather;C_SIA_Blood;C_SIA_head_Feather;Chick_sex;Cortico;Hg_HF;Hg_blood;Season_Hg_Blood;Hg_BF;BF_side;Long_Median_15Oct_20Fev;Lat_Median_15Oct_20Fev;Long_Median_DecJan;Lat_Median_DecJan;Long_Median_Dec_20Fev;Lat_Median_Dec_20Fev;d_PL_15Oct_20Fev;d_PL_DecJan;d_PL_1Dec_20Fev;Max_d_col__Dec_Jan;Max_d_col__15Oct_20Fev;PL_Lat;PL_Long
2010;LIAK10EG42;3680;M;14-juil;NA;NA;Lasso;53,46;14,67;119;20,95;144,00;-9,242767;0,9;1,00;NA;NA;NA;NA;NA;17/06/2010;167;17/06/2010;167;20/06/2010;170;NA;NA;NA;Unk;NA;NA;11,449;11,60;-20,811;-19,262;NA;6,3;3,40368;0,70604;breeding;0,89839;ventral;47,52450734;44,9934405;48,66063578;42,844882;48,25607248;42,75956814;196,710478;426,2608744;434,987279;5308,578545;5446,372235;NA;NA
2010;LIAK10EG17;3682;M;12-juil;M2;E;Nest;53,71;14,37;119;21,85;163,00;7,114899;1,1;2,50;49,12;4,91;32,80;3,28;26,95108301;09/06/2010;159;09/06/2010;159;18/06/2010;168;15/07/2010;195;NA;Y;6,073;6,939;11,401;NA;-21,168;NA;NA;14,1;2,40282;0,84339;breeding;1,16133;dorsal;46,73204234;48,48362411;46,55640685;46,90494576;46,55162326;47,1654811;234,4748804;137,5064441;145,8181562;4749,641927;4749,641927;NA;NA
2010;LIAK10EG10;3683;M;11-juil;M9;E;Nest;55,12;16,6;122;22,33;152,00;-9,442886;1,12;3,00;47,96;4,80;33,70;3,37;27,77852312;11/06/2010;161;11/06/2010;161;21/06/2010;171;NA;NA;NA;Unk;NA;NA;11,493;13,54;-20,757;-17,162;NA;12,4;2,66227;0,88985;breeding;1,1406;ventral;47,60915843;44,45919994;49,23223505;42,1532329;48,51537242;42,24510145;252,2740721;507,4454641;492,3737553;5352,863188;5352,863188;NA;NA
2010;LIAK10EG20;3687;M;12-juil;M4;E;Nest;51,92;14,38;117;21,71;159,00;8,084869;1,05;3,00;47,46;4,75;34,72;3,47;29,17812248;05/06/2010;155;05/06/2010;155;21/06/2010;171;NA;NA;NA;Unk;NA;NA;11,787;12,00;-20,965;-19,106;NA;5,2;4,05034;1,07838;breeding;1,11795;ventral;45,21452164;45,99500742;45,04090353;45,96065019;44,82134889;46,52170009;250,7091586;264,6434573;268,5703229;4754,087467;5238,059615;NA;NA
2010;LIAK10EG06;3688;F;11-juil;M11;E;Nest;51,66;13,61;116;21,16;151,00;2,448196;1,25;2,50;47,61;4,76;33,47;3,35;27,20068132;NA;NA;05/06/2010;155;18/06/2010;168;NA;NA;NA;N;NA;NA;10,979;11,48;-20,801;-19,120;NA;14;3,88471;0,75504;breeding;0,76433;ventral;44,95179556;45,13885412;45,02413667;44,4056457;44,98164644;44,16631004;311,9708455;360,1486954;381,8621576;5142,314204;5142,314204;NA;NA
2010;LIAK10EG16;3689;F;12-juil;M09;E;Nest;52,55;13,47;122;22,1;169,00;NA;1,2;2,00;47,96;4,80;33,70;3,37;27,77852312;12/06/2010;162;12/06/2010;162;20/06/2010;170;NA;NA;NA;Unk;NA;NA;11,319;9,40;-21,202;-17,414;NA;8,9;1,52577;0,52905;breeding;0,94601;ventral;44,64961461;48,3833469;44,10306213;46,74350557;44,01669869;47,51093653;335,5096206;322,3593488;339,5748545;4599,183079;4599,183079;NA;NA
2010;LIAK10EG15;3698;M;12-juil;M13;E;Nest;53,91;14,67;124;22,98;163,00;1,349548;1,09;2,50;45,57;4,56;31,45;3,15;22,98743447;NA;NA;NA;NA;NA;NA;NA;NA;NA;N;NA;NA;11,357;11,88;-21,006;-18,938;NA;10,9;3,07599;1,18852;breeding;0,8507;ventral;37,36623881;57,44691035;NA;NA;NA;NA;1409,484843;NA;NA;NA;3678,313575;NA;NA
2010;LIAK10EG33;3699;M;13-juil;M48;E;Nest;54,46;16,31;118;21,41;151,00;-4,796249;1,09;1,50;49,46;4,95;33,64;3,36;28,5454085;NA;NA;NA;NA;NA;NA;NA;NA;NA;Unk;NA;NA;NA;12,01;NA;-18,859;NA;10,5;3,61891;NA;breeding;0,96941;dorsal;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2010;LIAK10EG04;3701;M;11-juil;M36;E;Nest;53,62;15,01;119;21,95;161,00;5,055984;1,38;1,50;49,82;4,98;33,98;3,40;29,33733421;11/06/2010;161;11/06/2010;161;21/06/2010;171;NA;NA;NA;N;NA;NA;11,270;9,43;-21,012;-18,212;NA;18,9;4,0981;1,14618;breeding;1,43152;dorsal;43,87916777;46,91452882;44,63127065;46,08538516;44,96855586;45,46993769;339,8642904;291,0865826;291,6557145;4803,959078;5383,507056;NA;NA
2010;LIAK10EG21;3702;F;12-juil;M31;E;Nest;52,49;13,41;122;21,46;147,00;-7,129929;0,98;3,50;52,05;5,21;33,10;3,31;29,08351526;NA;NA;NA;NA;NA;NA;NA;NA;NA;N;NA;NA;11,264;11,84;-20,856;-19,290;NA;8,2;2,35607;0,54987;breeding;2,54188;dorsal;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2011;LIAK11EG01;Mk18-17585;M;17-juil;48;E;Nest;NA;NA;121;NA;161;NA;0,95;NA;52,59;5,259;33,77;3,377;30,58690035;NA;NA;18/06/2011;NA;18/06/2011;NA;NA;NA;NA;NA;NA;NA;NA;9,7841;NA;-19,12121429;NA;12,7;NA;0,74914;breeding;NA;NA;49,76613286;52,40909774;49,59874055;52,92649399;51,48145442;53,73199554;646,3555604;701,4675551;816,3306847;NA;NA;NA;NA
2011;LIAK11EG02;MK12-12A155;M;17-juil;33;E;Nest;NA;NA;121;NA;162;NA;NA;NA;47,41;4,741;34,03;3,403;28,00038673;NA;NA;NA;NA;NA;NA;20/07/2011;199;NA;NA;NA;6,35;NA;11,24014286;NA;-18,23821429;F;7,6;2,26894;0,97053;breeding;2,11438;dorsal;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
