code_usine;lat;lon;display_name;importance;Adresse  ;Code postal INSEE;INSEE;commune;postal;Ligne_5;type
94;47.0217978;0.0846745;Rue des Aubuies, Les Aubuies, Loudun, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86200, France;0,05339444647898066;Rue des Aubuies;86137;86137;LOUDUN;86200;ROSSAY;residential
95;47.0171123;0.0906504;Avenue de la Coopération, Les Chevaux Blancs, Les Aubuies, Loudun, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86200, France;0,05339444647898066;avenue de la Coopération;86137;86137;LOUDUN;86200;ROSSAY;residential
96;47.0217978;0.0846745;Rue des Aubuies, Les Aubuies, Loudun, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86200, France;0,05339444647898066;Rue des Aubuies;86137;86137;LOUDUN;86200;ROSSAY;residential
97;46.9989197;0.0560481;Route de Thouars, Lassay, Loudun, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86200, France;0,05339285343709465;Route de Thouars;86137;86137;LOUDUN;86200;ROSSAY;primary
98;46.4340189;0.1225788;Rue de Chypre, Lusignan, Les Vieux Pins, Lusignan, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86600, France;0,05339291294728005;rue de Chypre;86139;86139;LUSIGNAN;86600;;secondary
99;46.4161650;0.1347330;86600, Lusignan, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, France;0,12005956740672918;Le Plan Vert;86139;86139;LUSIGNAN;86600;;postal_code
100;46.4312338;0.8976624;Rue des Métiers, Zone industrielle Est La Barre, Montmorillon, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86500, France;0,05339397497520405;Rue des Métiers;86165;86165;MONTMORILLON;86500;;residential
101;46.4182703;0.8531562;Avenue de Provence, Montmorillon, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86500, France;0,05339397497520405;Avenue de Provence;86165;86165;MONTMORILLON;86500;;residential
102;46.4660793;1.0326594;Route de Journet, La Trimouille, Montmorillon, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86290, France;0,0533928168154421;Route de la Trimouille;86165;86165;MONTMORILLON;86500;;tertiary
103;46.4148222;0.8781416;Avenue du Moulin des Dames, La Calandre, Saulgé, Montmorillon, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86500, France;0,05339284885938808;Moulin des Dames;86165;86165;MONTMORILLON;86500;;tertiary
104;46.4562666;0.8629810;Route de Saint-Savin, Concise, Montmorillon, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86500, France;0,05339397497520405;Route de St-Savin;86165;86165;MONTMORILLON;86500;;secondary
105;46.7531606;0.4965602;Domine, Naintré, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86530, France;0,13339302891584648;Domine;86174;86174;NAINTRE;86530;;hamlet
106;46.6020574;0.8674069;Nalliers, Montmorillon, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86310, France;0,518378088031639;Zone Artisanale;86175;86175;NALLIERS;86310;;administrative
107;46.6879696;0.2714938;Bellefois, Neuville-de-Poitou, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86170, France;0,13340342030975813;Bellefois;86177;86177;NEUVILLE DE POITOU;86170;;hamlet
108;46.3435185;0.7050940;Rue Grand Rue, Fontarabie, Persac, Montmorillon, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86320, France;0,05339283970397494;Grand'Rue ;86190;86190;PERSAC;86320;;secondary
109;46.5614942;0.3181984;Route de Ligugé, Saint-Benoît, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86280, France;0,05340342030975811;Route de Ligugé;86194;86194;POITIERS;86000;;tertiary
110;46.5726435;0.3588470;Rue du Faubourg du Pont-Neuf, Pont-Neuf, Les Hauts de Saint-Saturnin, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86000, France;0,05340342030975811;Rue du Faubourg du Pont Neuf;86194;86194;POITIERS;86000;;secondary
111;46.6730955;0.3763239;Avenue de Bordeaux, Jaunay-Clan, Jaunay-Marigny, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86130, France;0,05340342030975811;Avenue de Bordeaux;86194;86194;POITIERS;86000;;primary
112;46.5889041;0.3298991;Avenue de Nantes, Poitiers Ouest, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86000, France;0,05340342030975811;Avenue de Nantes;86194;86194;POITIERS;86000;;secondary
113;46.5826130;0.3341865;Boulevard du Grand Cerf, La Gare, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86000, France;0,05340342030975811;Boulevard du Grand-Cerf;86194;86194;POITIERS;86000;;tertiary
114;46.5762081;0.3414165;Boulevard François Albert, Le Carmel, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86000, France;0,05340342030975811;Boulevard François-Albert;86194;86194;POITIERS;86000;;secondary
115;46.5726435;0.3588470;Rue du Faubourg du Pont-Neuf, Pont-Neuf, Les Hauts de Saint-Saturnin, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86000, France;0,05340342030975811;Rue du Faubourg du Pont Neuf;86194;86194;POITIERS;86000;;secondary
116;46.5726435;0.3588470;Rue du Faubourg du Pont-Neuf, Pont-Neuf, Les Hauts de Saint-Saturnin, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86000, France;0,05340342030975811;Rue du Faubourg du Pont Neuf;86194;86194;POITIERS;86000;;secondary
117;46.5815287;0.3512103;Grand'Rue, Cathédrale, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86000, France;0,05340342030975811;Grand rue;86194;86194;POITIERS;86000;;living_street
118;46.5815287;0.3512103;Grand'Rue, Cathédrale, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86000, France;0,05340342030975811;Grand Rue;86194;86194;POITIERS;86000;;living_street
119;46.5979564;0.3290012;La Demi-Lune, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86000, France;0,13340342030975813;La Demi-Lune;86194;86194;POITIERS;86000;;neighbourhood
120;46.5734352;0.3636802;La Pierre Levée, Le Parc à Fourrage, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86000, France;0,13340342030975813;La Pierre-Levée;86194;86194;POITIERS;86000;;neighbourhood
121;46.6060113;0.3451319;Moulin Apparent, Avenue de Paris, Le Porteau, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86000, France;7,008697642476566e-05;Moulin apparent;86194;86194;POITIERS;86000;;bus_stop
122;46.6060113;0.3451319;Moulin Apparent, Avenue de Paris, Le Porteau, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86000, France;7,008697642476566e-05;Moulin apparent;86194;86194;POITIERS;86000;;bus_stop
123;46.5552477;0.3073714;France Pare-Brise, 174, Avenue du 8 Mai 1945, Cap au Sud - Pointe à Miteau, Poitiers-Sud, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86000, France;7,008697642476566e-05;Pointe à Miteau;86194;86194;POITIERS;86000;;car_repair
124;46.5552477;0.3073714;France Pare-Brise, 174, Avenue du 8 Mai 1945, Cap au Sud - Pointe à Miteau, Poitiers-Sud, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86000, France;7,008697642476566e-05;Pointe à Miteau;86194;86194;POITIERS;86000;;car_repair
125;46.5697151;0.3581315;Route de Gençay, Pont-Neuf, Les Hauts de Saint-Saturnin, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86000, France;0,05340342030975811;Route de Gençay;86194;86194;POITIERS;86000;;secondary
126;46.5929776;0.3311755;Rue de Bel Air, Poitiers Ouest, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86000, France;0,05340342030975811;Rue de Bel-Air;86194;86194;POITIERS;86000;;residential
127;46.5602469;0.3143942;Rue Georges Leclanché, Les Prés Mignons, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86000, France;0,05340342030975811;Rue Georges Leclanché;86194;86194;POITIERS;86000;;residential
128;46.5812833;0.3420719;Rue Henri Oudin, Le Plateau, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86000, France;0,05340342030975811;Rue Henri-Oudin;86194;86194;POITIERS;86000;;tertiary
129;46.5740348;0.3387119;Tison, Carnot, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86000, France;0,06673675364309148;Tison;86194;86194;POITIERS;86000;;locality
130;46.5631818;0.8615947;Rue Raoul Gaschard, La Grange à Rabot, Saint-Savin, Montmorillon, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86310, France;0,053393324940871255;Rue Raoul Gaschard;86246;86246;ST SAVIN;86310;;residential
131;46.5484200;0.3452733;86280, Saint-Benoît, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, France;0,12007008697642477;Avenue des Grottes-de-Passe-Lourdin;86214;86214;ST BENOIT;86280;;postal_code
132;46.5653741;0.8774472;Avenue de l'Europe, Saint-Germain, Montmorillon, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86310, France;0,053393324940871255;Avenue de l'Europe;86223;86223;ST GERMAIN;86310;;primary
133;46.9519750;0.6959045;Place André Chicot, Les Caves, Saint-Rémy-sur-Creuse, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86220, France;0,053392865644312164;Place Andre Chicot;86241;86241;ST REMY SUR CREUSE;86220;;residential
134;46.3983877;0.8970291;86500, Montmorillon, Vienne, Nouvelle-Aquitaine, France métropolitaine, France;0,1200606416418707;La Grande Vigne;86254;86254;SAULGE;86500;;postal_code
135;46.8126242;0.4160011;Scorbé-Clairvaux, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86140, France;0,5192470983242315;Les Priedons S;86258;86258;SCORBE CLAIRVAUX;86140;;administrative
136;46.4847321;0.6563613;Rue de la Chapelle-Viviers, Cubord (Rive Droite), Valdivienne, Montmorillon, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86300, France;0,053392899214160336;rue de la Chapelle Viviers;86233;86233;VALDIVIENNE;86300;CHAPELLE MORTHEMER;unclassified
137;46.4246642;0.2564168;Avenue de Bordeaux, Les Champs Rabeaux, Vivonne, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86370, France;0,05339257572289613;avenue de Bordeaux;86293;86293;VIVONNE;86370;;residential
